S. No.,Entity,Logo,HQ,Domain,Description,Map Bucket 1,Map Bucket 2,Relevance Flag (Y/N),Sub Bucket,Tools/Products
1,Panterra Global,,United Kingdom,https://www.panterra.global/,"Strategic advisory to governments/corporations, communications campaigns, elections & policy-engagement work",Media & Messaging,,Y,,
2,Palantir,,United States,https://www.palantir.com/,"Large-scale data analytics & modelling, AI and decision-software for governments and industry; strong presence in Europe via law-enforcement, defence, and commercial customers.",Data Analytics and Modeling,,N,,
3,influencethe.com,,Bulgaria,https://influencethe.com/,Disinformation detection & “community intelligence” platform; narrative creation/distribution and counter-messaging; political campaigning services (NationBuilder partner),Media & Messaging,,Y,Information Integrity / Disinformation,
4,Electify,,,,"Secure online election software; customizable, verifiable voting for orgs & public bodies",Voting Tech,,Y,,
5,Genaios GmbH,,Germany,https://genaios.ai/,"AI-powered fact-checking, content originality & AI-text detection (detect fake news, AI-generated text)",Media & Messaging,,Y,,
6,Mobilize,,United States,https://www.mobilize.us/,"Volunteer & event-management platform for campaigns, advocacy organisations & grassroots; network of millions of supporters.",Volunteer Mobilisation,Voter Engagement,N,,
7,Centrist Democrat International,,Belgium,https://idc-cdi.com/,"Global political-international network uniting centre-/centre-right and Christian-democratic parties; promotes democratic values, coordination amongst parties and youth engagement",Organisational Infrastructure,,N,,
8,Trail Blazer Campaign Services,,United States,https://www.trailblz.com/,"Campaign CRM with voter/donor database, turf-cutting & mobile canvassing, mass email, online fundraising, and FEC/state compliance",Volunteer Mobilisation,Voter Engagement,N,,
9,Polyteia GmbH,,Germany,https://www.polyteia.com/,"GovTech platform: data & workflow integration for public administrations in Europe (datasets, insights, reports, forms, AI workflows)",GovTech / Civic Infrastructure,Organisational Infrastructure,N,,
10,Robert Schuman Institute,,Hungary,https://schuman-institute.eu/insitute/,"Education and training for politicians and parties in the European People’s Party (EPP) family, especially across Central, Eastern & Southeastern Europe - building network, capacity, democratic transformation",Organisational Infrastructure,,N,,
11,RumbleUp,,United States,https://rumbleup.com/,"Peer-to-peer (P2P) texting platform for campaigns, advocacy groups, organisations",Volunteer Mobilisation,Voter Engagement,N,,
12,Cronos Europa,,Belgium,https://www.cronoseuropa.com/,IT & digital-communications services tailored for European institutions/agencies,GovTech / Civic Infrastructure,Organisational Infrastructure,N,,
13,LOAD eV,,Germany,,,,,,,
14,Pakflatt,,United Kingdom,https://www.pakflatt.com/,Manufacturer of polling booths and election-equipment solutions (including accessible voting devices),GovTech / Civic Infrastructure,Voting Tech,Y,,
15,Salesforce Inc.,,United States,https://www.salesforce.com/,"Cloud-based CRM and enterprise software: marketing automation, customer service platforms, data & analytics, AI-driven customer engagement",Organisational Infrastructure,,Y,,
16,Pelidum Trust & Safety,,Ireland,https://www.pelidum.com/,"Online safety / trust & safety solutions: content moderation, compliance, regulation advisory; public-sector / NGO focus",Media & Messaging,,Y,Information Integrity / Disinformation,
17,FiscalNote,,United States,https://fiscalnote.com/,"AI-driven policy and regulatory intelligence, global legislative tracking, stakeholder management and advocacy tools",Research,,Y,Regulatory & Legislative Intelligence,
18,DSPolitical,,United States,https://www.dspolitical.com/,"Voter-targeted digital/ad tech for campaigns (connected TV, digital audio, programmatic political ads)",Media & Messaging,,Y,Ad Tech,
19,ENKIME,,Germany,https://enkime.de/en,"Creator management, short-form digital content",Media & Messaging,,N,,
20,Future Shift Labs,,India,https://futureshiftlabs.com/,"Advisory & research on emerging technologies, AI policy, governance in tech–politics interface",Research,,Y,Emerging Tech & Governance Research,
21,Masterplan GmbH,,Germany,https://masterplan.com/en,Corporate e-learning / learning-engagement SaaS,Organisational Infrastructure,,N,Internal Comms & Productivity,
22,VolunteerHub,,United States,https://volunteerhub.com/,"Volunteer-management software: recruiting, scheduling, tracking, reporting, volunteer databases, event landing pages",Volunteer Mobilisation,,Review,Volunteer CRM,
23,JanSoch,,India,https://jansoch.com/,Political-consulting & public-policy research,Research,,N,,
24,eXplain,,France,https://www.explain.fr/,AI-startup focused on public-sector data and automating administrative/document workflows; founders previously created a campaign-tool used in European elections,Data Analytics and Modeling,,Y,,
